"id","from","to","date","distance","countryside","device","suburban","age"
"500","Vecsés","Monor","2015-01-24T15:00:00","24","countryside","ios","true","29"
"501","Vecsés","Budapest","2015-01-24T14:00:00","18","budapest","ios","true","25"
"502","Vecsés","Budapest","2015-01-24T16:00:00","18","budapest","android","true","26"
"503","Petőháza","Győr","2015-01-24T14:00:00","64","countryside","ios","false","29"
"504","Pilis","Budapest","2015-01-24T08:00:00","57","budapest","ios","false","34"
"505","Pilis","Budapest","2015-01-24T13:00:00","57","budapest","ios","false","21"
"506","Püspökladány","Berettyóújfalu","2015-01-24T18:00:00","39","countryside","ios","true","33"
"507","Püspökladány","Budapest","2015-01-24T14:00:00","189","budapest","ios","false","34"
"508","Püspökladány","Debrecen","2015-01-24T21:00:00","56","countryside","ios","false","24"
"509","Püspökladány","Karcag","2015-01-24T09:00:00","16","countryside","android","true","28"
"510","Püspökladány","Karcag","2015-01-24T12:00:00","16","countryside","ios","true","24"
"511","Püspökladány","Karcag","2015-01-24T14:00:00","16","countryside","android","true","28"
"512","Püspökladány","Miskolc","2015-01-24T19:00:00","152","countryside","ios","false","21"
"513","Rakamaz","Debrecen","2015-01-24T12:00:00","92","countryside","ios","false","35"
"514","Nagytarcsa","Budapest","2015-01-24T18:00:00","17","budapest","ios","true","37"
"515","Nagytarcsa","Budapest","2015-01-24T18:00:00","17","budapest","ios","true","24"
"516","Nagytarcsa","Budapest","2015-01-24T19:00:00","17","budapest","ios","true","32"
"517","Nagytarcsa","Budapest","2015-01-24T19:00:00","12","budapest","ios","true","34"
